baseline,data,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
True,1642517519.0859032,64,"[48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77]","[103, 91, 87, 51, 42, 29, 35, 12, 4, 49, 6, 1, 69, 56, 58, 62]",baseline_0.6597_1642517519,0.6597222222222222,0.8094758970869912,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642518103.891534,64,"[103, 91, 87, 51, 42, 29, 35, 12, 4, 49, 6, 1, 69, 56, 58, 62, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77]","[48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82]",baseline_0.6476_1642518103,0.6475694444444444,0.8185818097657628,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642518612.6547532,64,"[103, 91, 87, 51, 42, 29, 35, 12, 4, 49, 6, 1, 69, 56, 58, 62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77]","[63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26]",baseline_0.6406_1642518612,0.640625,0.8344081322352092,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642519215.6006591,64,"[103, 91, 87, 51, 42, 29, 35, 12, 4, 49, 6, 1, 69, 56, 58, 62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77]","[50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94]",baseline_0.6417_1642519215,0.6416666666666667,0.8201371901565128,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642519702.825912,64,"[103, 91, 87, 51, 42, 29, 35, 12, 4, 49, 6, 1, 69, 56, 58, 62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94]","[109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77]",baseline_0.5913_1642519702,0.5912921348314607,0.96588651141089,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642520350.5076697,64,"[82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77, 84, 5, 73, 95, 86, 81, 75, 40, 9, 33, 46, 71, 68, 43, 18]","[62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7]",baseline_0.6667_1642520350,0.6666666666666666,0.7825459765063392,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642520879.8243232,64,"[62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77, 84, 5, 73, 95, 86, 81, 75, 40, 9, 33, 46, 71, 68, 43, 18]","[82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14]",baseline_0.6417_1642520879,0.6416666666666667,0.8136564547816912,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642521365.042417,64,"[62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19, 77, 84, 5, 73, 95, 86, 81, 75, 40, 9, 33, 46, 71, 68, 43, 18]","[26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36]",baseline_0.6319_1642521365,0.6319444444444444,0.8577943768766191,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642521804.0031493,64,"[62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 77, 84, 5, 73, 95, 86, 81, 75, 40, 9, 33, 46, 71, 68, 43, 18]","[94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19]",baseline_0.6032_1642521803,0.6032303370786517,0.899909430842721,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
True,1642522510.7406764,64,"[62, 48, 93, 16, 28, 102, 96, 15, 41, 27, 38, 108, 54, 34, 79, 7, 82, 63, 107, 97, 52, 25, 60, 89, 3, 57, 70, 17, 99, 37, 59, 14, 26, 50, 2, 90, 80, 55, 22, 47, 101, 31, 85, 24, 67, 78, 64, 36, 94, 109, 53, 8, 39, 23, 65, 45, 66, 44, 106, 100, 104, 83, 30, 19]","[77, 84, 5, 73, 95, 86, 81, 75, 40, 9, 33, 46, 71, 68, 43, 18]",baseline_0.6066_1642522510,0.6065972222222222,0.8829741800824801,"{'random_seed': 20220113, 'training_epochs': 50, 'cv_fold': 5, 'max_subject': 109, 'subject_subset_size': 80, 'subject_subset_stride': 15, 'model_save_path': './trained_models', 'batch_size': 16}"
