baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
False,1644088300.942272,5,2,"[8, 12]",[4],custom_0.6295_1643552826,0.5833333432674408,0.9309814870357513,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088306.5877564,5,2,"[4, 12]",[8],custom_0.6295_1643552826,0.609375,0.8402062803506851,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088310.0336456,5,2,"[8, 4]",[12],custom_0.6295_1643552826,0.5833333432674408,0.9302304983139038,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088322.840074,9,2,"[8, 12]",[4],custom_0.6295_1643552826,0.7864583432674408,0.5373522713780403,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088327.207577,9,2,"[4, 12]",[8],custom_0.6295_1643552826,0.6510416716337204,0.7543538808822632,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088331.373135,9,2,"[8, 4]",[12],custom_0.6295_1643552826,0.6041666716337204,0.9443677514791489,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088339.588521,10,2,"[8, 12]",[4],custom_0.6295_1643552826,0.6510416716337204,0.8465635627508163,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088345.5085263,10,2,"[4, 12]",[8],custom_0.6295_1643552826,0.4114583358168602,1.1597502082586288,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088356.4885142,10,2,"[8, 4]",[12],custom_0.6295_1643552826,0.6927083432674408,0.8019171357154846,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088366.0175023,11,2,"[8, 12]",[4],custom_0.6295_1643552826,0.5989583432674408,0.7659793943166733,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088370.9814134,11,2,"[4, 12]",[8],custom_0.6295_1643552826,0.5885416716337204,0.8325785249471664,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088374.8914056,11,2,"[8, 4]",[12],custom_0.6295_1643552826,0.671875,0.6994276493787766,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088390.637205,13,2,"[8, 12]",[4],custom_0.6295_1643552826,0.8697916716337204,0.4301857575774193,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088401.1018739,13,2,"[4, 12]",[8],custom_0.6295_1643552826,0.78125,0.5180818364024162,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088407.5120385,13,2,"[8, 4]",[12],custom_0.6295_1643552826,0.6666666716337204,0.6298109516501427,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088420.4218907,18,2,"[8, 12]",[4],custom_0.6295_1643552826,0.921875,0.2410326786339283,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088428.9841034,18,2,"[4, 12]",[8],custom_0.6295_1643552826,0.9322916716337204,0.28402506187558174,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088440.4836879,18,2,"[8, 4]",[12],custom_0.6295_1643552826,0.8697916716337204,0.3089987561106682,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088452.5173018,20,2,"[8, 12]",[4],custom_0.6295_1643552826,0.796875,0.5517293810844421,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088460.173437,20,2,"[4, 12]",[8],custom_0.6295_1643552826,0.875,0.34445052593946457,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088467.7943501,20,2,"[8, 4]",[12],custom_0.6295_1643552826,0.8125,0.4139590412378311,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088478.756952,21,2,"[8, 12]",[4],custom_0.6295_1643552826,0.65625,0.9532281756401062,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088482.929218,21,2,"[4, 12]",[8],custom_0.6295_1643552826,0.5208333432674408,1.0249234586954117,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088487.115291,21,2,"[8, 4]",[12],custom_0.6295_1643552826,0.4895833432674408,1.028197631239891,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088499.554749,32,2,"[8, 12]",[4],custom_0.6295_1643552826,0.6666666716337204,0.6244997903704643,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088506.0069685,32,2,"[4, 12]",[8],custom_0.6295_1643552826,0.8177083432674408,0.47161925584077835,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
False,1644088513.643317,32,2,"[8, 4]",[12],custom_0.6295_1643552826,0.7708333432674408,0.5640484020113945,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
