baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,acc,loss,parametros
True,1643112460.9560826,103,2,"[8, 12]",[4],0.453125,1.292830467224121,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112465.8826888,103,2,"[4, 12]",[8],0.5052083358168602,1.0629814118146896,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112468.3459876,103,2,"[8, 4]",[12],0.5677083432674408,1.049987182021141,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112474.4339128,91,2,"[8, 12]",[4],0.4895833432674408,0.976320430636406,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112477.883976,91,2,"[4, 12]",[8],0.5625,1.0403171330690384,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112480.454926,91,2,"[8, 4]",[12],0.5885416716337204,0.9865172654390335,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112486.7778137,87,2,"[8, 12]",[4],0.4583333358168602,1.2387493252754211,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112491.1435924,87,2,"[4, 12]",[8],0.328125,1.2670937478542328,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112494.3486853,87,2,"[8, 4]",[12],0.3385416716337204,1.5247685015201569,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112501.9924076,51,2,"[8, 12]",[4],0.7916666716337204,0.5788803771138191,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112506.9231288,51,2,"[4, 12]",[8],0.8177083432674408,0.857125137001276,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112512.327225,51,2,"[8, 4]",[12],0.796875,0.38406606763601303,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112518.2407696,42,2,"[8, 12]",[4],0.5989583432674408,1.1093328148126602,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112522.2321014,42,2,"[4, 12]",[8],0.5833333432674408,1.0164182931184769,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112526.9275095,42,2,"[8, 4]",[12],0.5729166716337204,0.9057235866785049,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112535.8961005,29,2,"[8, 12]",[4],0.5677083432674408,0.9451060593128204,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112541.9864018,29,2,"[4, 12]",[8],0.7395833432674408,1.0611975491046906,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112548.3371663,29,2,"[8, 4]",[12],0.7083333432674408,0.7179329544305801,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112554.5071547,35,2,"[8, 12]",[4],0.4270833358168602,1.2114959359169006,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112563.4900224,35,2,"[4, 12]",[8],0.5885416716337204,0.8927167654037476,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112567.7984657,35,2,"[8, 4]",[12],0.4947916716337204,1.140694946050644,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112574.7723348,12,2,"[8, 12]",[4],0.6145833432674408,0.8801783323287964,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112577.964913,12,2,"[4, 12]",[8],0.5520833358168602,1.2166401892900467,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112581.1111965,12,2,"[8, 4]",[12],0.4375,1.3577054738998413,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112587.2368197,4,2,"[8, 12]",[4],0.7916666716337204,0.497512623667717,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112591.5082235,4,2,"[4, 12]",[8],0.7760416716337204,0.6310593709349632,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112596.2449048,4,2,"[8, 4]",[12],0.7864583432674408,0.49820542335510254,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112604.317052,49,2,"[8, 12]",[4],0.5260416716337204,1.1441888213157654,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112613.5811493,49,2,"[4, 12]",[8],0.625,0.9703575968742371,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112617.0923111,49,2,"[8, 4]",[12],0.4635416716337204,1.1550886631011963,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112623.8033187,6,2,"[8, 12]",[4],0.5,1.0402173399925232,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112628.5781484,6,2,"[4, 12]",[8],0.5625,1.0005791038274765,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112633.808444,6,2,"[8, 4]",[12],0.5364583432674408,1.0931571274995804,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112641.1057725,1,2,"[8, 12]",[4],0.5729166716337204,1.0306949466466904,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112644.1123319,1,2,"[4, 12]",[8],0.4166666716337204,1.2745613604784012,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112648.387871,1,2,"[8, 4]",[12],0.5,1.260203704237938,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112655.9412608,69,2,"[8, 12]",[4],0.4270833358168602,1.365174114704132,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112659.041599,69,2,"[4, 12]",[8],0.4895833432674408,1.2638693451881409,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112662.5141056,69,2,"[8, 4]",[12],0.3645833358168602,1.3046355843544006,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
True,1643112669.495806,56,2,"[8, 12]",[4],0.4947916716337204,1.1464087069034576,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
