baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,acc,loss,parametros
False,1643497652.211456,103,2,"[8, 12]",[4],0.4010416716337204,1.1203043758869171,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497658.5185194,103,2,"[4, 12]",[8],0.4479166716337204,1.0156333595514297,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497663.8878562,103,2,"[8, 4]",[12],0.4739583358168602,1.0095697194337845,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497671.5749068,91,2,"[8, 12]",[4],0.4791666716337204,0.9539545625448227,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497681.0598476,91,2,"[4, 12]",[8],0.5572916716337204,0.9560561031103134,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497685.5204663,91,2,"[8, 4]",[12],0.59375,0.9168625771999359,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497691.4250333,87,2,"[8, 12]",[4],0.578125,0.9182435274124146,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497696.8816612,87,2,"[4, 12]",[8],0.3802083358168602,1.0289050787687302,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497701.332279,87,2,"[8, 4]",[12],0.515625,1.0321435034275055,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497707.050814,51,2,"[8, 12]",[4],0.6614583432674408,0.759797677397728,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497716.9493418,51,2,"[4, 12]",[8],0.7395833432674408,0.5953309834003448,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497729.740691,51,2,"[8, 4]",[12],0.90625,0.2263931706547737,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497735.1863892,42,2,"[8, 12]",[4],0.6041666716337204,0.9254928082227707,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497739.787715,42,2,"[4, 12]",[8],0.5208333432674408,1.0072787702083588,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497747.2290168,42,2,"[8, 4]",[12],0.6145833432674408,0.8555956035852432,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497756.4389665,29,2,"[8, 12]",[4],0.5885416716337204,0.778461366891861,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497768.984678,29,2,"[4, 12]",[8],0.65625,0.7563993632793427,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497777.9242582,29,2,"[8, 4]",[12],0.6770833432674408,0.6753132790327072,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497782.478348,35,2,"[8, 12]",[4],0.515625,1.0042396932840347,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497791.7030742,35,2,"[4, 12]",[8],0.734375,0.6955931484699249,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497799.7262933,35,2,"[8, 4]",[12],0.5416666716337204,0.9048221707344055,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497805.0700262,12,2,"[8, 12]",[4],0.5260416716337204,0.8705713450908661,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497810.6881418,12,2,"[4, 12]",[8],0.4895833358168602,1.0189079642295837,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497821.545734,12,2,"[8, 4]",[12],0.703125,0.6320058852434158,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497829.8421195,4,2,"[8, 12]",[4],0.7916666716337204,0.3865289241075516,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497837.8888402,4,2,"[4, 12]",[8],0.7760416716337204,0.4583474174141884,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497845.425149,4,2,"[8, 4]",[12],0.8489583432674408,0.3772813156247139,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497850.1769216,49,2,"[8, 12]",[4],0.3541666679084301,1.0533275455236435,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497863.221884,49,2,"[4, 12]",[8],0.7916666716337204,0.7680691629648209,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497870.3610768,49,2,"[8, 4]",[12],0.484375,1.0759745240211487,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497880.2365942,6,2,"[8, 12]",[4],0.6302083432674408,0.770453155040741,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497888.8155422,6,2,"[4, 12]",[8],0.609375,0.850238636136055,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497896.3654509,6,2,"[8, 4]",[12],0.578125,0.8922438770532608,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497903.5066173,1,2,"[8, 12]",[4],0.484375,0.97426538169384,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497913.620495,1,2,"[4, 12]",[8],0.7135416716337204,0.7758183926343918,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497920.8076618,1,2,"[8, 4]",[12],0.5677083432674408,0.9812065958976746,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497926.0081022,69,2,"[8, 12]",[4],0.4635416716337204,1.0920451134443283,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497935.9771714,69,2,"[4, 12]",[8],0.4895833432674408,1.0543887466192245,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497939.4125166,69,2,"[8, 4]",[12],0.4635416716337204,1.0798108875751495,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497952.3386707,56,2,"[8, 12]",[4],0.7395833432674408,0.6220076531171799,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497965.5592377,56,2,"[4, 12]",[8],0.8229166716337204,0.44908322766423225,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
False,1643497970.0894663,56,2,"[8, 4]",[12],0.5,1.0267013758420944,"{'random_seed': 20220113, 'training_epochs': 50, 'max_subject': 109, 'batch_size': 16}"
